bedrooms,square_footage,bathrooms,location,age_of_house,garage_size,lot_size,distance_to_school,house_price
4,2722.5,2.5,Suburban,8.5,1,9283.9,8.39,551724.43
3,2302.9,2.0,Urban,14.3,1,1114.5,7.13,507126.81
2,1883.2,1.5,Suburban,28.9,2,12966.6,1.84,391476.66
4,2843.9,3.0,Downtown,15.8,3,11522.4,0.68,842484.73
4,3291.1,3.0,Urban,39.1,3,14389.3,1.8,778476.13
3,2419.7,2.0,Downtown,18.7,2,1184.3,0.88,652139.33
4,2220.7,3.0,Urban,5.7,2,1399.4,4.65,565549.28
3,2910.7,2.5,Rural,39.1,3,8244.3,3.2,403881.26
3,2080.6,2.0,Downtown,34.9,2,12984.7,0.57,633038.07
3,1967.3,2.5,Downtown,12.7,2,14878.4,1.26,624051.7
1,892.9,1.0,Rural,49.1,2,5480.4,4.28,111353.26
2,2070.3,1.5,Suburban,20.2,1,1509.1,9.43,361024.36
1,945.0,1.5,Suburban,34.0,0,3737.1,9.95,140288.73
3,1831.7,2.5,Suburban,45.5,1,13278.1,0.98,366994.45
3,2152.0,2.5,Downtown,7.8,1,7530.3,8.39,599806.78
3,2225.9,2.0,Rural,44.0,2,12946.3,5.06,317468.84
5,4051.4,4.5,Downtown,35.2,2,7214.7,6.4,1031461.45
2,1573.0,2.0,Suburban,8.4,3,1747.5,5.31,332532.08
3,1872.4,2.0,Suburban,33.2,1,9646.1,9.28,338386.13
4,3151.8,3.0,Suburban,43.7,3,7099.5,5.05,566586.44
2,1372.9,2.0,Suburban,40.0,2,7878.9,2.1,289204.51
2,1911.4,2.0,Rural,38.0,0,14285.6,7.91,266675.2
3,2148.8,1.5,Rural,8.1,2,7399.0,5.38,327084.03
2,1829.8,1.0,Suburban,9.5,1,12151.4,1.61,366859.2
5,3491.3,3.5,Suburban,27.4,0,1824.8,4.89,629733.54
4,2597.4,2.0,Downtown,29.0,2,7706.5,7.03,674553.56
3,1958.5,2.5,Suburban,47.2,2,9213.7,3.31,363609.94
4,3176.2,3.5,Downtown,23.4,1,2585.2,9.16,811961.12
4,2306.1,2.5,Urban,15.1,3,5231.3,8.57,557710.21
2,1075.7,1.5,Downtown,9.5,2,11354.3,5.9,385582.68
4,3546.2,3.0,Urban,2.7,1,3574.7,1.02,770664.26
3,2200.5,3.0,Suburban,3.4,2,2798.3,6.04,460734.24
4,1740.8,3.0,Rural,28.7,2,5189.9,4.45,269444.28
4,2791.3,3.5,Suburban,8.8,2,13025.5,7.38,579480.24
3,1480.0,2.0,Urban,42.6,2,11681.2,3.04,380090.12
2,1339.1,2.0,Suburban,29.8,0,11875.2,6.25,250309.58
2,1008.3,1.5,Rural,43.2,2,5514.4,5.77,130530.46
3,2100.9,2.0,Urban,21.4,2,2385.1,5.51,474250.06
4,2287.1,2.5,Urban,29.8,2,1447.3,1.6,512221.18
4,2669.6,3.0,Suburban,26.3,0,9206.8,5.15,497619.01
1,702.7,1.0,Suburban,49.3,2,10832.0,5.73,118101.37
3,1980.9,2.0,Suburban,39.8,3,6290.5,9.31,368369.08
3,2102.4,3.0,Downtown,29.8,2,8404.1,4.88,572133.62
2,1539.2,1.5,Urban,30.3,2,4906.1,6.58,342958.84
2,1927.9,2.0,Downtown,12.4,1,6100.2,5.91,540680.01
3,2125.0,2.0,Suburban,36.7,1,11217.4,2.35,406330.13
5,3281.1,3.5,Suburban,49.1,1,11055.1,2.25,627717.41
3,2642.5,2.0,Downtown,6.5,2,1393.3,7.52,676797.59
3,1449.3,2.5,Downtown,31.9,3,14219.2,5.47,462850.02
4,2225.5,3.5,Suburban,25.9,2,4766.2,9.01,446155.21
3,2214.2,2.0,Downtown,42.5,1,13706.2,9.13,571986.39
5,4361.3,3.5,Suburban,0.0,2,8166.6,3.32,869939.65
5,3306.9,4.0,Downtown,6.8,3,7988.5,1.46,976256.94
3,1702.3,2.5,Rural,1.9,1,7308.6,3.77,297957.38
3,1469.3,1.5,Rural,8.1,2,13914.0,1.14,271776.15
3,2577.6,1.5,Suburban,35.4,3,3913.5,7.92,438271.39
3,2352.4,2.5,Suburban,7.0,2,9563.0,1.89,472994.49
1,699.6,1.0,Downtown,31.1,1,5448.9,8.73,160111.91
3,1806.4,2.5,Rural,43.4,0,13813.3,4.45,276184.12
3,1749.5,2.0,Suburban,1.7,2,3370.8,3.15,365372.48
2,1216.5,1.5,Suburban,1.3,3,10466.7,5.26,287157.45
3,2069.5,2.0,Rural,49.5,2,6904.6,6.25,295137.4
5,2786.6,4.5,Rural,33.7,2,10257.1,7.16,425115.76
2,1254.1,2.0,Urban,7.0,2,3206.5,3.71,306106.7
2,1619.2,2.0,Urban,15.3,1,6511.2,9.84,363857.85
3,2016.9,2.5,Rural,49.3,2,2501.7,4.51,266104.45
6,3645.9,4.5,Rural,11.4,1,14562.9,8.43,552712.6
2,1768.1,1.5,Suburban,37.6,1,3995.9,0.83,302413.75
3,2065.4,3.0,Rural,12.1,1,14905.2,7.89,308742.01
4,2395.5,3.0,Urban,19.9,0,6859.0,5.74,561332.36
2,1717.6,1.0,Suburban,44.0,2,2001.7,6.58,251210.57
4,2323.8,2.0,Suburban,1.4,1,1246.1,4.04,441627.54
3,2152.5,3.0,Urban,15.4,0,9385.4,5.68,504112.47
3,2050.2,2.5,Suburban,24.4,2,9606.2,9.36,425605.27
3,1556.6,2.5,Urban,31.3,2,8347.1,4.17,388697.16
3,2525.7,3.0,Downtown,1.4,2,1929.6,1.5,692596.22
2,1471.4,1.0,Rural,20.5,2,5641.1,7.34,233579.15
4,2853.7,3.0,Suburban,17.2,0,6027.0,5.3,561445.63
3,2568.3,2.0,Downtown,1.3,0,10867.4,4.54,713380.96
2,1770.5,2.0,Rural,17.8,0,6864.0,7.89,249058.05
1,923.2,1.0,Downtown,46.6,3,9021.5,5.84,223160.78
3,1964.9,2.0,Urban,13.7,2,5008.6,6.5,476960.94
3,2565.8,2.0,Suburban,29.3,1,11163.7,9.3,471445.79
1,911.4,1.0,Rural,14.9,1,1654.7,1.06,115969.25
3,1970.0,2.0,Downtown,5.3,2,14839.1,2.99,622064.32
2,1220.4,1.5,Downtown,14.5,1,9980.9,9.03,343207.14
3,1379.4,2.5,Rural,23.5,2,3084.1,8.03,186279.41
2,1495.4,1.0,Downtown,14.8,1,11044.9,2.29,446728.41
3,1954.6,1.5,Rural,31.2,1,12011.8,2.11,258764.43
3,2560.5,1.5,Urban,47.5,3,12040.3,8.34,584652.32
5,3277.3,3.5,Downtown,3.5,1,4790.3,5.75,895045.08
2,1781.7,1.5,Suburban,35.9,2,14420.9,8.67,346929.76
3,1910.7,2.0,Downtown,0.1,1,1248.3,9.22,512051.44
2,1456.0,1.5,Suburban,0.1,2,6317.8,1.16,304144.36
5,2969.4,3.0,Suburban,6.6,0,2459.1,9.71,548677.72
4,3049.4,2.5,Suburban,24.0,1,6388.0,7.31,552624.62
3,1726.7,3.0,Rural,2.4,0,1801.1,8.43,246614.96
3,2139.9,2.5,Downtown,36.1,2,10029.7,6.49,594113.33
4,2007.7,3.5,Suburban,1.5,3,1874.5,3.4,431286.88
3,2003.5,2.0,Suburban,24.8,0,9621.9,6.19,378792.25
3,2234.2,2.0,Downtown,33.8,0,4277.2,5.4,508216.18
2,1433.6,1.5,Urban,11.9,2,3508.1,9.35,327101.04
2,1429.0,2.0,Suburban,29.0,2,5858.0,5.77,278277.0
4,2937.1,3.0,Rural,13.1,2,9973.5,0.76,478257.62
5,3175.2,4.0,Suburban,10.7,2,9094.8,7.02,640929.08
3,1852.8,2.0,Suburban,40.9,2,10526.6,0.98,367194.51
3,2062.7,2.5,Urban,16.6,0,13865.7,9.47,491452.23
3,3104.9,2.5,Urban,40.7,0,3846.2,5.12,644425.81
4,3247.3,3.0,Urban,10.8,2,6787.0,9.7,729633.73
4,2995.4,2.5,Suburban,17.8,2,4721.5,0.75,576330.71
4,2784.2,3.0,Suburban,5.1,3,9208.9,5.56,575913.46
4,2822.5,2.5,Suburban,24.8,2,4967.6,2.65,531671.65
3,1245.2,2.0,Suburban,19.1,2,8812.2,6.59,281059.41
2,1255.4,1.5,Suburban,0.3,2,12524.3,5.23,318716.39
2,1605.6,1.0,Urban,23.2,1,8713.2,5.88,373573.72
4,1858.0,3.0,Downtown,3.7,1,12733.8,3.92,590525.94
3,1896.0,2.0,Suburban,41.8,3,9558.9,0.99,393138.73
1,890.2,1.0,Downtown,24.7,1,13184.2,1.51,295082.96
2,1382.3,2.0,Downtown,34.5,1,14025.8,8.66,393345.64
3,2212.1,2.0,Suburban,41.1,2,8109.4,7.18,417871.36
1,969.3,1.0,Urban,2.6,2,12069.0,7.81,252367.02
2,1419.7,1.5,Rural,16.9,0,7563.4,1.67,215300.18
3,1829.1,2.0,Suburban,1.3,2,10872.7,0.97,433809.82
3,1489.5,3.0,Suburban,2.5,1,1525.1,0.66,322888.28
3,1627.0,2.0,Urban,1.9,2,14536.8,5.46,444386.05
2,1455.7,2.0,Downtown,23.9,2,13520.7,5.26,462191.06
4,2467.1,3.0,Downtown,22.5,3,13506.0,1.55,746162.06
2,1541.4,1.0,Suburban,3.1,2,4937.5,3.79,298841.62
3,1500.8,2.0,Suburban,13.1,2,4964.3,5.54,286697.69
4,2902.1,2.5,Urban,12.2,2,6636.4,6.92,661177.63
3,2288.7,2.5,Rural,14.8,1,13322.7,8.19,335089.64
4,2252.6,2.5,Suburban,32.0,1,13020.9,6.59,422273.57
3,2545.5,3.0,Suburban,34.9,2,5052.4,0.79,472195.69
3,1722.0,2.0,Downtown,17.0,3,8584.9,6.07,532613.15
2,1456.3,2.0,Suburban,39.4,2,7652.4,1.34,290832.16
3,2216.0,2.5,Rural,20.9,1,10109.5,5.87,301826.0
3,2256.4,2.5,Suburban,26.1,3,3994.6,4.07,441047.99
2,1793.3,1.5,Downtown,7.3,2,2190.7,3.22,488225.6
5,3683.8,4.0,Suburban,11.6,2,1381.6,5.08,703415.01
3,1674.5,2.5,Suburban,36.4,2,6339.8,4.12,331420.31
4,2648.8,2.5,Suburban,48.9,2,14252.6,8.39,489092.53
3,2315.3,2.0,Suburban,35.2,0,10587.4,2.65,430593.24
4,2532.7,3.0,Urban,2.7,1,11487.8,1.8,660109.0
3,2231.9,2.0,Suburban,7.1,3,14232.3,8.45,479387.76
3,2607.7,3.0,Urban,22.3,1,6908.7,2.81,623833.29
3,2811.6,2.5,Rural,36.6,2,7641.2,0.81,387958.75
2,1366.5,1.0,Rural,8.3,1,6033.6,4.18,181103.22
4,2432.0,3.0,Downtown,37.5,3,3539.2,8.28,665421.76
3,1721.4,2.0,Suburban,27.8,2,11729.5,4.6,332530.69
1,971.6,1.0,Urban,38.7,2,13693.6,4.97,229804.49
3,1464.7,2.0,Downtown,27.9,1,12394.3,0.95,438067.28
2,1809.3,1.0,Urban,30.1,0,1668.1,7.25,328264.8
5,3196.5,4.0,Downtown,12.4,2,5188.0,3.77,899382.26
5,2852.9,4.0,Urban,36.0,0,9289.2,7.42,645161.41
5,2844.3,3.5,Downtown,42.2,2,5580.6,4.4,778372.02
3,1959.8,2.5,Urban,43.6,2,3101.7,5.51,419347.76
1,1396.9,1.0,Downtown,1.5,2,8537.1,6.1,415385.17
5,3309.1,3.5,Suburban,31.2,1,8300.9,2.37,618177.36
3,2374.7,2.5,Downtown,49.5,2,10938.5,3.29,607129.99
5,4342.3,4.0,Suburban,29.3,2,14998.1,6.06,818081.04
5,3623.5,3.0,Rural,8.6,0,10075.3,8.32,521442.09
4,2553.1,3.0,Downtown,43.9,2,5436.4,9.63,674039.29
3,2219.0,1.5,Suburban,13.2,1,14389.3,5.48,440387.58
3,2013.8,2.5,Urban,2.3,0,8998.2,1.2,473412.24
4,2375.8,3.5,Downtown,21.5,1,10040.3,9.58,678592.41
3,1666.9,2.0,Downtown,5.0,0,6005.9,4.5,481946.74
2,1518.9,1.5,Downtown,5.8,2,7325.7,1.47,439666.72
3,1717.1,1.5,Suburban,23.2,2,6860.8,9.74,332935.88
5,3398.6,4.0,Rural,30.6,0,14107.0,3.16,515066.88
3,1978.6,2.5,Urban,45.3,1,12334.3,6.74,420268.39
3,2369.7,2.5,Rural,35.3,2,2269.9,1.87,339532.57
2,1335.3,2.0,Suburban,42.1,2,5394.1,7.34,257337.62
3,2319.5,2.0,Rural,20.6,0,1779.6,9.77,287503.49
6,4341.3,4.5,Suburban,15.9,0,8234.6,9.86,824762.2
2,1370.5,2.0,Suburban,29.6,3,4911.9,1.7,311900.37
3,1766.1,1.5,Suburban,34.8,1,2027.6,7.8,283753.82
4,1815.6,3.0,Downtown,28.4,1,11808.1,6.81,562743.94
4,4019.6,3.0,Urban,13.2,0,2275.8,8.11,841262.74
3,2528.5,2.5,Downtown,18.5,2,4801.9,3.67,656000.43
4,3058.2,2.0,Urban,22.4,2,11802.9,4.32,677744.59
3,2121.0,3.0,Suburban,0.7,2,8162.0,3.75,472011.08
3,1900.9,2.0,Downtown,44.0,0,12439.6,7.78,462221.93
4,2554.4,3.5,Suburban,25.6,2,6802.7,8.19,517512.1
4,3286.4,3.0,Suburban,37.6,1,12408.1,2.87,586021.43
4,2675.9,3.0,Rural,8.6,2,8534.3,5.94,411534.51
5,3111.0,3.0,Urban,27.8,2,2231.4,1.7,700190.76
3,1915.6,2.0,Suburban,46.3,3,7600.9,0.63,397347.47
3,2378.8,2.5,Downtown,10.7,2,8749.6,6.3,669946.9
4,3656.8,3.0,Suburban,17.3,2,9569.4,8.48,694312.47
3,2636.9,1.5,Downtown,19.4,2,13990.4,9.11,695782.0
4,3141.6,3.0,Urban,19.2,1,3569.8,6.39,686416.58
4,2802.2,2.5,Downtown,30.0,2,9484.4,8.18,756080.5
4,1305.8,2.5,Suburban,19.7,1,11528.3,4.34,317283.83
3,2376.6,1.5,Urban,33.7,2,13459.4,8.82,517492.75
3,2024.2,2.5,Suburban,24.2,1,8354.3,7.86,406545.38
2,1446.3,2.0,Suburban,7.9,1,3995.3,3.43,317411.21
3,2075.4,3.0,Urban,47.4,2,12447.5,6.17,513491.74
1,674.1,1.0,Downtown,12.0,2,13670.7,0.99,288608.02
3,2390.5,2.5,Suburban,28.1,2,2489.2,1.89,438770.25
3,2329.7,2.5,Urban,3.0,2,4216.0,9.49,527200.26
3,2231.0,2.0,Suburban,45.9,1,13200.5,0.59,406214.36
3,2485.1,2.0,Downtown,46.4,2,7781.8,2.43,605587.63
1,919.1,1.0,Suburban,18.2,0,3367.4,1.82,158112.31
1,809.8,1.0,Rural,6.0,1,10034.1,7.14,161981.23
4,2679.0,3.0,Suburban,38.5,0,7416.0,1.5,472134.51
3,2196.9,3.0,Downtown,13.1,2,14551.4,0.69,688008.96
2,1580.0,2.0,Downtown,35.0,1,4118.0,9.34,367582.03
3,2345.0,1.5,Downtown,45.8,1,6070.3,8.79,519777.32
4,3084.5,2.5,Downtown,29.5,2,3326.1,3.91,779120.66
2,1882.1,2.0,Suburban,43.1,2,1696.3,1.45,342546.04
3,2663.7,2.0,Suburban,11.2,2,4834.6,6.94,496784.79
2,1295.7,1.5,Urban,45.5,2,12477.6,8.89,303285.79
2,880.1,1.0,Rural,11.3,3,4741.3,9.76,158078.15
3,2472.9,2.5,Suburban,11.3,2,10748.8,1.74,515207.98
3,1969.5,1.5,Rural,44.0,1,8364.3,6.2,252052.39
3,2016.4,1.5,Suburban,27.7,2,8275.9,4.59,385385.65
4,2469.0,3.5,Suburban,40.0,2,11941.6,1.99,492424.59
5,2870.5,4.5,Downtown,40.1,0,9648.8,8.18,779172.17
3,2294.1,2.0,Downtown,32.3,0,3238.0,7.93,536489.72
3,1678.4,2.0,Downtown,9.5,2,4090.7,9.66,485963.21
4,2229.5,3.5,Suburban,34.6,2,8613.0,1.31,461351.77
3,2424.0,2.5,Urban,3.2,2,12834.4,2.77,615916.8
3,1914.0,2.0,Downtown,10.0,1,3132.5,8.36,478812.97
2,1796.3,1.5,Downtown,32.1,3,2496.5,4.26,458006.02
1,940.0,1.0,Rural,45.4,2,8245.5,5.02,99202.36
5,2879.4,4.0,Urban,38.6,3,3641.1,6.31,665484.41
4,1997.0,3.0,Suburban,16.6,0,14919.3,4.38,429654.67
3,2364.5,2.0,Downtown,41.2,2,1061.0,0.84,589090.42
3,2391.7,2.0,Rural,48.3,2,7284.1,6.24,321011.08
2,1014.4,1.0,Downtown,16.6,0,3275.6,2.67,270631.32
2,1430.3,1.5,Suburban,9.3,1,10535.1,9.7,303545.29
3,1761.3,2.5,Urban,9.9,1,9821.9,7.06,438961.15
3,1700.2,2.0,Suburban,20.0,3,12298.9,8.49,356482.78
4,3220.7,3.0,Rural,2.6,2,8887.6,9.57,447020.56
3,2385.8,2.0,Downtown,24.4,1,3651.2,1.1,610043.87
3,2272.8,2.5,Urban,36.6,2,1746.4,1.91,482117.1
5,3822.9,4.0,Suburban,26.5,2,11110.1,8.18,743489.91
4,2344.5,3.0,Suburban,48.5,1,7158.9,8.91,440972.21
3,1857.6,2.5,Rural,23.1,3,4111.0,0.55,303675.25
3,2890.0,2.0,Suburban,0.7,2,4525.5,9.48,535376.33
3,2151.6,2.0,Urban,23.5,1,3086.4,4.82,466284.96
2,1755.6,1.0,Downtown,46.5,2,4970.1,4.89,400216.2
3,2024.8,2.5,Urban,4.8,2,12088.3,8.85,554254.44
4,2097.3,2.5,Urban,11.1,1,9689.2,3.25,525659.81
1,521.4,1.0,Rural,35.8,2,14823.6,6.04,100234.74
2,1545.8,1.0,Rural,14.7,2,8339.9,3.67,228380.18
1,966.5,1.0,Downtown,38.3,2,8300.9,1.58,244657.82
1,1231.5,1.0,Suburban,21.0,1,3679.4,3.91,204970.19
4,2837.4,3.5,Rural,39.8,0,9210.4,2.14,401306.74
4,2569.7,3.5,Suburban,27.6,1,9517.1,5.45,492884.08
3,2530.5,2.0,Suburban,4.1,0,3891.4,5.53,485747.66
2,1250.1,2.0,Downtown,19.3,3,2231.5,4.65,371935.65
3,2193.1,2.0,Suburban,16.7,2,6162.8,2.15,447583.99
3,1992.3,3.0,Urban,40.5,0,3409.4,1.63,429309.65
2,1454.4,2.5,Urban,31.2,2,8044.9,1.49,361760.63
3,2390.9,2.5,Suburban,38.9,1,8365.5,1.57,441290.31
3,1783.3,2.5,Downtown,18.6,0,9514.2,3.3,500396.37
3,1768.2,2.5,Suburban,34.6,1,9439.6,0.52,379520.69
3,1970.8,2.5,Rural,3.3,1,10448.3,1.09,344664.82
1,744.8,1.0,Suburban,1.8,0,4226.4,4.97,155966.41
3,2907.3,2.0,Rural,14.4,1,11231.8,2.24,441512.02
3,2227.4,2.0,Suburban,38.7,2,8347.5,3.0,452650.08
3,2173.9,2.0,Rural,26.7,1,7122.3,3.86,332024.19
4,2150.7,3.5,Urban,20.4,2,10070.5,0.88,566459.76
3,1426.2,2.5,Rural,44.8,2,8017.6,2.59,184106.17
2,1324.0,1.5,Urban,24.9,0,8359.4,7.88,299293.59
2,1467.4,2.0,Suburban,30.7,2,1325.5,3.74,272997.26
3,2862.4,1.5,Rural,49.3,1,12228.5,2.27,377210.4
1,987.8,1.0,Urban,26.1,2,6938.5,2.38,228807.09
3,2219.0,2.5,Downtown,39.2,1,8253.1,9.85,575096.08
5,3280.0,3.0,Downtown,20.7,2,6458.7,1.91,870881.34
3,2319.3,2.5,Suburban,1.8,2,8721.4,9.1,493427.74
3,1979.4,1.5,Urban,41.7,1,1756.6,1.27,426328.68
3,2591.3,1.5,Suburban,47.2,1,6374.7,8.81,423727.27
3,2346.8,3.0,Suburban,21.7,2,10361.5,5.32,480118.43
3,2059.1,2.0,Downtown,25.2,1,14138.2,6.28,558725.28
5,2125.8,3.5,Suburban,21.2,1,12888.5,2.84,496586.71
3,1944.5,2.5,Downtown,49.8,2,14479.5,9.04,548139.77
5,3459.2,3.5,Suburban,45.2,1,11941.2,6.08,659012.65
5,2889.4,3.5,Rural,2.1,1,9856.6,6.92,431794.78
2,997.6,1.5,Rural,39.0,2,6925.8,5.79,119951.93
2,1657.7,1.5,Suburban,30.0,2,2724.0,1.69,294957.77
2,1173.9,1.5,Suburban,1.3,2,4511.2,8.44,249574.69
1,1341.8,1.0,Suburban,22.2,2,4796.5,2.24,260096.04
2,1118.8,1.5,Downtown,7.5,3,6990.4,3.27,367689.99
3,1848.3,2.5,Rural,43.7,1,9537.8,6.86,275512.82
2,1254.8,1.5,Suburban,0.6,2,9661.3,1.39,316849.75
3,2183.8,3.0,Suburban,43.7,2,7377.6,9.37,409295.78
4,3601.5,3.0,Suburban,47.0,2,4845.0,1.68,652002.4
1,966.0,1.0,Downtown,3.6,2,1790.9,6.84,253346.86
4,2165.4,3.0,Downtown,36.0,2,14843.7,6.53,623347.39
3,2494.3,2.5,Downtown,27.4,2,14153.8,7.13,682316.52
2,1088.4,1.0,Suburban,47.7,1,3561.0,4.62,153662.68
3,2508.5,2.5,Downtown,39.9,1,9475.5,4.13,661457.24
3,2251.9,1.0,Rural,34.7,2,5139.2,9.79,296045.07
4,1675.2,3.0,Urban,46.3,0,3722.0,8.26,329967.89
4,2561.7,3.5,Rural,8.0,1,10581.8,5.11,406171.1
4,3028.1,2.5,Urban,18.8,3,12006.7,2.23,707907.78
3,2354.1,2.5,Urban,42.1,3,6692.3,8.96,499355.34
2,1247.8,1.5,Downtown,5.1,0,1826.9,6.66,333036.26
4,2301.6,2.5,Suburban,46.8,2,6620.9,1.79,409772.83
4,2199.4,3.5,Downtown,37.3,3,8450.7,2.24,631097.53
